abbreviation,缩写,/əˌbriːviˈeɪʃn/,USA is an abbreviation for United States.,cet6
abolish,废除,/əˈbɑːlɪʃ/,They want to abolish the old law.,cet6
abortion,堕胎,/əˈbɔːrʃn/,The topic of abortion is controversial.,cet6
abrupt,突然的,/əˈbrʌpt/,The meeting came to an abrupt end.,cet6
absurd,荒谬的,/əbˈsɜːrd/,That idea is absurd.,cet6
abundance,丰富,/əˈbʌndəns/,There is an abundance of food.,cet6
academy,学院,/əˈkædəmi/,She studies at the military academy.,cet6
accessory,配件,/əkˈsesəri/,She bought new accessories for her car.,cet6
accommodate,容纳,/əˈkɑːmədeɪt/,The hotel can accommodate 500 guests.,cet6
accomplishment,成就,/əˈkɑːmplɪʃmənt/,This is a great accomplishment.,cet6
accordance,一致,/əˈkɔːrdns/,In accordance with the rules, you must leave.,cet6
accordingly,相应地,/əˈkɔːrdɪŋli/,Please act accordingly.,cet6
accountant,会计,/əˈkaʊntənt/,She works as an accountant.,cet6
accumulate,积累,/əˈkjuːmjəleɪt/,He accumulated a lot of wealth.,cet6
accuracy,准确性,/ˈækjərəsi/,The accuracy of the data is important.,cet6
accustom,使习惯,/əˈkʌstəm/,You need to accustom yourself to the climate.,cet6
achievement,成就,/əˈtʃiːvmənt/,Winning the award was a great achievement.,cet6
acid,酸,/ˈæsɪd/,Lemon juice contains acid.,cet6
acquaintance,熟人,/əˈkweɪntəns/,He is just an acquaintance, not a close friend.,cet6
activate,激活,/ˈæktɪveɪt/,Press this button to activate the alarm.,cet6
addiction,上瘾,/əˈdɪkʃn/,Drug addiction is a serious problem.,cet6
additionally,此外,/əˈdɪʃənəli/,Additionally, we need to consider costs.,cet6
adequacy,适当性,/ˈædɪkwəsi/,The adequacy of the supply is uncertain.,cet6
adjacent,邻近的,/əˈdʒeɪsənt/,The park is adjacent to the school.,cet6
adjoining,毗连的,/əˈdʒaɪnɪŋ/,We stayed in adjoining rooms.,cet6
adjustable,可调节的,/əˈdʒʌstəbl/,The chair is adjustable.,cet6
administration,管理,/ədˌmɪnɪˈstreɪʃn/,She works in school administration.,cet6
adolescent,青少年,/ˌædəˈlesnt/,The book is written for adolescents.,cet6
adverse,不利的,/ˈædvɜːrs/,The drug has adverse effects.,cet6
advocate,提倡,/ˈædvəkeɪt/,She advocates for environmental protection.,cet6
aesthetic,美学的,/esˈθetɪk/,The building has great aesthetic appeal.,cet6
affection,喜爱,/əˈfekʃn/,She has great affection for her students.,cet6
affirmative,肯定的,/əˈfɜːrmətɪv/,The answer was affirmative.,cet6
aftermath,后果,/ˈæftərmæθ/,In the aftermath of the storm, many homes were damaged.,cet6
aggravate,加重,/ˈæɡrəveɪt/,This will only aggravate the situation.,cet6
aggregate,总计,/ˈæɡrɪɡət/,The aggregate amount is one million dollars.,cet6
aggressive,侵略性的,/əˈɡresɪv/,The company has an aggressive marketing strategy.,cet6
agony,痛苦,/ˈæɡəni/,He was in agony after the accident.,cet6
agreeable,令人愉快的,/əˈɡriːəbl/,The weather was agreeable for a picnic.,cet6
ailment,疾病,/ˈeɪlmənt/,He suffers from a minor ailment.,cet6
